timestamp;tag;duration;package_0;package_1;dram_0;dram_1;nvidia_gpu_0
1706785017.022154;test_tokenization_SPACY;2005.2198932170868;87972140819.0;106790806998.0;8845758419.0;9372650287.0;26885668
1706787052.2539082;test_lemmatization_SPACY;1999.150110244751;-174447374947.0;-155170092937.0;8820205536.0;10128067131.0;26792492
1706789081.4342608;test_stopword_removal_SPACY;2156.5409064292908;94572532247.0;114769286879.0;-56199990769.0;-54812446589.0;29022065
1706791268.0065663;test_pos_tagging_SPACY;499.83602142333984;21945580721.0;27722620253.0;2206350912.0;2728156999.0;6734401
1706791797.8742757;test_ner_SPACY;1339.0918862819672;58730833291.0;71261228826.0;5907755508.0;6183447830.0;17970743
1706793167.0034256;test_tokenization_SPACY;2015.3582346439362;-173700516873.0;-154231363346.0;8891283706.0;9313153314.0;26799897
1706795213.856498;test_lemmatization_SPACY;2640.376808643341;115829875106.0;137438997337.0;11651172202.0;13674350061.0;35196424
1706797885.1743095;test_stopword_removal_SPACY;2774.9588599205017;-140407096490.0;-117893042798.0;12241369687.0;14262613580.0;37057724
1706800690.2494643;test_pos_tagging_SPACY;581.2228705883026;25998962557.0;31678801226.0;2834032739.0;2976457731.0;7860776
1706801302.2799823;test_ner_SPACY;1466.2713730335236;64333681802.0;77395138782.0;6472534675.0;6921071678.0;19715949
1706802799.9582472;test_tokenization_SPACY;2226.4956710338593;97668913419.0;-144226350567.0;-55884732356.0;-54892585710.0;30014512
1706805057.778797;test_lemmatization_SPACY;2720.6562287807465;-142308592659.0;141333178347.0;12009942897.0;13729476772.0;36866929
1706807809.0685387;test_stopword_removal_SPACY;2706.35582113266;119102756741.0;-121054361243.0;11939070726.0;13935416516.0;36091321
1706810545.4763837;test_pos_tagging_SPACY;607.5410852432251;27217258754.0;32705191726.0;2981178149.0;3116990664.0;8113388
1706811183.5983095;test_ner_SPACY;1403.3821375370026;-200509364869.0;74198088373.0;6190184374.0;6678537103.0;18736294
1706812617.0895224;test_tokenization_SPACY;2261.56520318985;99343475905.0;-142680507479.0;9978163760.0;11048456670.0;30433818
1706814910.2615025;test_lemmatization_SPACY;2732.0492911338806;-142188736642.0;141743021353.0;12050355857.0;-51460442785.0;36843022
1706817672.9579177;test_stopword_removal_SPACY;2762.6966223716736;121213547725.0;-118827232239.0;-53528608826.0;14535978664.0;37157204
1706820465.7682872;test_pos_tagging_SPACY;584.3917853832245;26234660561.0;31683278815.0;2912549601.0;2946202991.0;7733087
1706821080.8398874;test_ner_SPACY;1451.085066318512;63674446978.0;76671796945.0;6401054727.0;6880715908.0;19304044
1706822562.0994027;test_tokenization_SPACY;2310.4885380268097;-160629222089.0;-140318387854.0;10185769322.0;11089874275.0;30592213
1706824902.9802625;test_lemmatization_SPACY;2812.150773048401;123584787504.0;145108479412.0;12403425114.0;14550272307.0;37227698
1706827745.5882308;test_stopword_removal_SPACY;2891.8062858581543;-135013397834.0;-111194024547.0;12758670261.0;-50726217175.0;38508430
1706830667.5513644;test_pos_tagging_SPACY;593.2109925746918;26607683471.0;32419144424.0;2921508546.0;3038301647.0;8037173
1706831291.3946137;test_ner_SPACY;1525.3137612342834;67001242722.0;80334143771.0;6727710921.0;7434061797.0;20523921
1706832846.8138976;test_tokenization_SPACY;2389.4340994358063;105079519143.0;-136367645100.0;-55166941056.0;11880639231.0;32054923
1706835267.4776278;test_lemmatization_SPACY;2927.293572664261;-133226813357.0;151324114440.0;12912482139.0;15288623165.0;39033116
1706838225.3210533;test_stopword_removal_SPACY;3034.9037618637085;133483964005.0;-105274184294.0;13379359956.0;15850105915.0;40422797
1706841290.3427007;test_pos_tagging_SPACY;593.8472986221313;-235549986224.0;32111288034.0;2902555641.0;3047065992.0;7840299
1706841915.0979526;test_ner_SPACY;1548.9055140018463;68007233006.0;81167998935.0;6830081033.0;-58213007454.0;20554327
1706843494.334947;test_tokenization_SPACY;2463.0708475112915;108183886989.0;-132860575526.0;10859147873.0;12149914625.0;32765720
1706845987.881552;test_lemmatization_SPACY;2963.3250329494476;-131994295456.0;-109043635398.0;13064852437.0;15392010528.0;39852474
1706848982.0098078;test_stopword_removal_SPACY;2999.0405299663544;131799602961.0;155066613344.0;-52487196471.0;15651047361.0;40631385
1706852011.158744;test_pos_tagging_SPACY;585.1266748905182;26223473273.0;31591407162.0;2870779744.0;3031077538.0;7982130
1706852627.09484;test_ner_SPACY;1554.3637669086456;-193912057905.0;-180714136614.0;6854698992.0;7536948162.0;21208941
1706854211.7745616;test_tokenization_SPACY;2465.5544831752777;108393683205.0;129399937412.0;10870368342.0;-53576992780.0;33145546
1706856708.527547;test_lemmatization_SPACY;2914.7216107845306;-134064240047.0;-111656648546.0;12848668501.0;15032907487.0;38910893
1706859653.9801497;test_stopword_removal_SPACY;2942.933995962143;129411591496.0;152634227969.0;12974089134.0;15266342219.0;39469293
1706862627.0284615;test_pos_tagging_SPACY;578.8529379367828;25974526827.0;31511640522.0;2833505914.0;2962141950.0;7809535
1706863236.6353824;test_ner_SPACY;1554.095013141632;68307357786.0;-180550379221.0;-58861237165.0;7513903639.0;20795375
