timestamp,tag,duration,package_0,package_1,package_total,dram_0,dram_1,dram_total,Total,nvidia_gpu_0
1703861152,test_entityrecognition_NLTK,2065.892813,85567.61,85567.61,171135.22,9377.16,6709.97,16087.13,187222.35,26926.13
1703873861,test_entityrecognition_NLTK,2072.649386,85823.28,85823.28,171646.56,9500.45,6732.29,16232.74,187879.3,27185.7
1703880203,test_entityrecognition_NLTK,2089.495171,86563.97,86563.97,173127.94,9548.11,6786.61,16334.72,189462.66,27060.11
1703860153,test_lemmatize_NLTK,23.21104789,957.79,957.79,1915.58,106.1,75.37,181.47,2097.05,303.06
1703863317,test_lemmatize_NLTK,26.68838382,1100.74,1100.74,2201.48,126.8,86.72,213.52,2415,346.4
1703866502,test_lemmatize_NLTK,23.46491528,967.43,967.43,1934.86,106.84,76.24,183.08,2117.94,305.42
1703869688,test_lemmatize_NLTK,23.41632867,966.49,966.49,1932.98,111.3,76.09,187.39,2120.37,303.16
1703872863,test_lemmatize_NLTK,23.46276426,969.13,969.13,1938.26,108.41,76.25,184.66,2122.92,305.01
1703876032,test_lemmatize_NLTK,23.44019699,966.5,966.5,1933,108.58,76.18,184.76,2117.76,304.51
1703879204,test_lemmatize_NLTK,23.41815066,965.34,965.34,1930.68,108.54,76.07,184.61,2115.29,305.95
1703882391,test_lemmatize_NLTK,23.48054194,967.95,967.95,1935.9,107.54,76.3,183.84,2119.74,304.32
1703888747,test_lemmatize_NLTK,23.5455029,971.09,971.09,1942.18,106.8,76.53,183.33,2125.51,304.67
1703860349,test_postagging_NLTK,772.8477385,31993.64,31993.64,63987.28,3494.44,2510.23,6004.67,69991.95,10063
1703866698,test_postagging_NLTK,776.4039578,32130.45,32130.45,64260.9,3528.84,2521.82,6050.66,70311.56,10151.03
1703869884,test_postagging_NLTK,773.8592317,32022.45,32022.45,64044.9,3543.81,2513.43,6057.24,70102.14,10050.66
1703876232,test_postagging_NLTK,771.5939543,31938,31938,63876,3553.52,2506.05,6059.57,69935.57,10113.72
1703879400,test_postagging_NLTK,772.2887859,31946.83,31946.83,63893.66,3510.99,2508.43,6019.42,69913.08,10089.44
1703885761,test_postagging_NLTK,776.9040089,32151.37,32151.37,64302.74,3514.54,2523.53,6038.07,70340.81,9978.13
1703888943,test_postagging_NLTK,773.5711203,31989.76,31989.76,63979.52,3478.38,2512.7,5991.08,69970.6,10089.47
1703860207,test_stemming_NLTK,68.32100677,2823.41,2823.41,5646.82,311.32,222.17,533.49,6180.31,891.32
1703866555,test_stemming_NLTK,68.40498495,2823.69,2823.69,5647.38,309.03,222.16,531.19,6178.57,885.33
1703869741,test_stemming_NLTK,68.52991819,2828.37,2828.37,5656.74,319.83,222.53,542.36,6199.1,891.9
1703872917,test_stemming_NLTK,68.46985936,2827.49,2827.49,5654.98,311.94,222.38,534.32,6189.3,888.26
1703876086,test_stemming_NLTK,68.43417978,2824.67,2824.67,5649.34,321.11,222.42,543.53,6192.87,878.52
1703879257,test_stemming_NLTK,68.49536252,2826.55,2826.55,5653.1,316.3,222.42,538.72,6191.82,902.83
1703882445,test_stemming_NLTK,68.61542773,2832.97,2832.97,5665.94,310.88,222.91,533.79,6199.73,880.86
1703885618,test_stemming_NLTK,68.46559572,2825.94,2825.94,5651.88,309.61,222.4,532.01,6183.89,897.76
1703888801,test_stemming_NLTK,68.54123855,2827.16,2827.16,5654.32,308.2,222.57,530.77,6185.09,182.8
1703860305,test_stopwordremoval_NLTK,14.09321332,582.59,582.59,1165.18,64.39,45.75,110.14,1275.32,184.11
1703863473,test_stopwordremoval_NLTK,14.16002297,583.22,583.22,1166.44,64.79,46,110.79,1277.23,183.24
1703866653,test_stopwordremoval_NLTK,14.1916306,584.99,584.99,1169.98,64.67,46.08,110.75,1280.73,184.07
1703869840,test_stopwordremoval_NLTK,14.12683463,581.07,581.07,1162.14,67.64,45.88,113.52,1275.66,184.42
1703873015,test_stopwordremoval_NLTK,14.23619533,586.9,586.9,1173.8,66.46,46.24,112.7,1286.5,227.14
1703876184,test_stopwordremoval_NLTK,17.49424529,720.18,720.18,1440.36,87.01,56.83,143.84,1584.2,187.11
1703879356,test_stopwordremoval_NLTK,14.23471999,586.67,586.67,1173.34,67.75,46.22,113.97,1287.31,181.64
1703882543,test_stopwordremoval_NLTK,14.18844032,584.28,584.28,1168.56,65.26,46.07,111.33,1279.89,183.14
1703885717,test_stopwordremoval_NLTK,14.192837,583.71,583.71,1167.42,64.61,46.09,110.7,1278.12,184.74
1703888899,test_stopwordremoval_NLTK,14.16667223,583.37,583.37,1166.74,64.32,46,110.32,1277.06,184.74
1703860085,test_tokenization_NLTK,38.66331577,1598.38,1598.38,3196.76,177,125.64,302.64,3499.4,506.13
1703863248,test_tokenization_NLTK,39.08108115,1615.03,1615.03,3230.06,177.93,126.95,304.88,3534.94,499.73
1703866433,test_tokenization_NLTK,38.95606089,1610.73,1610.73,3221.46,180.29,126.54,306.83,3528.29,509.02
1703869619,test_tokenization_NLTK,38.95857525,1609.65,1609.65,3219.3,181.07,126.55,307.62,3526.92,500.47
1703872791,test_tokenization_NLTK,42.17606688,1744.57,1744.57,3489.14,201.15,137.11,338.26,3827.4,546.42
1703875963,test_tokenization_NLTK,38.90274239,1608.9,1608.9,3217.8,182.41,126.37,308.78,3526.58,498.32
1703879135,test_tokenization_NLTK,38.8856926,1606.05,1606.05,3212.1,177.24,126.31,303.55,3515.65,517.67
1703882322,test_tokenization_NLTK,38.95070219,1610.27,1610.27,3220.54,178.1,126.54,304.64,3525.18,507.13
1703885496,test_tokenization_NLTK,38.84591007,1605.56,1605.56,3211.12,177.14,126.18,303.32,3514.44,506.53
1703888678,test_tokenization_NLTK,38.87867808,1607.48,1607.48,3214.96,176.57,126.33,302.9,3517.86,511.76
