timestamp,tag,duration,package_0,package_1,package_total,dram_0,dram_1,dram_total,Total,nvidia_gpu_0,GPU-SD,DRAM-SD,PKG-SD,Time-SD
1704692556,test_stemming_GENSIM,35.91982722,1570.73,1923.02,3493.75,158.67,159.45,318.12,3811.87,455.58,5.266262906,3.791311705,40.09832073,0.3562436887
1704692694,test_stemming_GENSIM,37.21271181,1625.75,1992.72,3618.47,164.28,167.54,331.82,3950.29,473.29,,,,
1704692833,test_stemming_GENSIM,36.53914475,1597.83,1956.93,3554.76,161.36,163.31,324.67,3879.43,469.15,,,,
1704692973,test_stemming_GENSIM,36.23280215,1585.37,1936.32,3521.69,160.16,161.57,321.73,3843.42,466.07,,,,
1704693112,test_stemming_GENSIM,36.29569077,1585.9,1931.34,3517.24,159.92,161.39,321.31,3838.55,464.56,,,,
1704693250,test_stemming_GENSIM,36.30347633,1586.87,1929.84,3516.71,160.05,161.31,321.36,3838.07,464.01,,,,
1704693390,test_stemming_GENSIM,36.29851818,1587.38,1916.43,3503.81,160.39,161.52,321.91,3825.72,465.35,,,,
1704693529,test_stemming_GENSIM,36.199296,1582.9,1910.66,3493.56,159.85,161.85,321.7,3815.26,458.75,,,,
1704693806,test_stemming_GENSIM,36.26372433,1584.92,1913.79,3498.71,160.02,161.86,321.88,3820.59,467.4,,,,
1704692622,test_stopword_removal_GENSIM,6.374686003,277.33,343.55,620.88,28.16,29.48,57.64,678.52,80.22,5.852371219,4.207573067,38.84639843,0.4009626147
1704692761,test_stopword_removal_GENSIM,6.000588179,261.06,323.74,584.8,26.52,27.46,53.98,638.78,75.89,,,,
1704692900,test_stopword_removal_GENSIM,7.071595192,307.74,379.83,687.57,31.25,33.92,65.17,752.74,90.99,,,,
1704693039,test_stopword_removal_GENSIM,6.132572174,266.1,330.08,596.18,26.98,28.47,55.45,651.63,78.51,,,,
1704693178,test_stopword_removal_GENSIM,6.171862841,267.99,325.69,593.68,27.23,28.28,55.51,649.19,79.15,,,,
1704693317,test_stopword_removal_GENSIM,6.8503263,298.07,363.75,661.82,30.25,32.69,62.94,724.76,88.61,,,,
1704693456,test_stopword_removal_GENSIM,6.119367599,266.24,323.32,589.56,27.04,28.04,55.08,644.64,78.02,,,,
1704693595,test_stopword_removal_GENSIM,6.174915075,268.3,325.58,593.88,27.24,29.31,56.55,650.43,78.48,,,,
1704693734,test_stopword_removal_GENSIM,6.20775938,269.44,327.55,596.99,27.39,29.75,57.14,654.13,79.47,,,,
1704693873,test_stopword_removal_GENSIM,6.986350298,303.99,367.29,671.28,30.86,33.84,64.7,735.98,91.4,,,,
1704692519,test_tokenization_GENSIM,6.338101625,275.51,338.99,614.5,28.01,29.35,57.36,671.86,79.64,5.105018881,3.995385672,37.62041697,0.3896295326
1704692658,test_tokenization_GENSIM,5.922127962,257.52,317.23,574.75,26.16,27.34,53.5,628.25,74.23,,,,
1704692797,test_tokenization_GENSIM,5.951387644,258.26,318.9,577.16,26.26,27.53,53.79,630.95,75.19,,,,
1704692937,test_tokenization_GENSIM,5.801716328,251.82,310.61,562.43,25.56,26.54,52.1,614.53,73.48,,,,
1704693075,test_tokenization_GENSIM,6.876076937,300.27,365.65,665.92,30.42,32.85,63.27,729.19,87.73,,,,
1704693215,test_tokenization_GENSIM,5.884299755,255.9,313.87,569.77,25.99,26.93,52.92,622.69,74.76,,,,
1704693354,test_tokenization_GENSIM,5.811897516,252.28,305.59,557.87,25.64,26.66,52.3,610.17,75.68,,,,
1704693492,test_tokenization_GENSIM,6.684405565,290.34,350.33,640.67,29.44,31.97,61.41,702.08,85.61,,,,
1704693631,test_tokenization_GENSIM,5.896534204,256.37,309.71,566.08,26.05,27.11,53.16,619.24,74.41,,,,
1704693770,test_tokenization_GENSIM,5.871305943,256.07,308.66,564.73,26.01,27.4,53.41,618.14,74.85,,,,
